datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/09/29 04:33:07,GOES-16,Brasil,SAO PAULO,ITAPUI,Mata Atlantica,3,0,1,-22.24,-48.75,
2019/09/29 04:33:07,GOES-16,Brasil,SAO PAULO,ITAPUI,Mata Atlantica,3,0,1,-22.26,-48.74,
2019/09/29 21:03:01,GOES-16,Brasil,SAO PAULO,PARANAPANEMA,Cerrado,3,0,1,-23.41,-48.74,
2019/09/29 21:13:00,GOES-16,Brasil,SAO PAULO,PARANAPANEMA,Cerrado,3,0,1,-23.41,-48.74,
2019/09/29 22:03:01,GOES-16,Brasil,SAO PAULO,PARANAPANEMA,Cerrado,3,0,1,-23.41,-48.74,
2019/09/29 22:13:02,GOES-16,Brasil,SAO PAULO,PARANAPANEMA,Cerrado,3,0,1,-23.41,-48.74,
2019/09/29 22:33:15,GOES-16,Brasil,SAO PAULO,LOURDES,Mata Atlantica,3,0,1,-20.96,-50.28,
2019/09/29 23:33:11,GOES-16,Brasil,SAO PAULO,FLORIDA PAULISTA,Mata Atlantica,3,0,1,-21.53,-51.17,
2019/09/30 23:03:15,GOES-16,Brasil,SAO PAULO,NEVES PAULISTA,Mata Atlantica,4,0,1,-20.85,-49.66,
2019/09/30 23:03:15,GOES-16,Brasil,SAO PAULO,NEVES PAULISTA,Mata Atlantica,4,0,1,-20.87,-49.66,
2019/09/30 23:03:15,GOES-16,Brasil,SAO PAULO,SANTO ANTONIO DA ALEGRIA,Cerrado,4,0,1,-20.99,-47.18,
2019/10/01 00:03:04,GOES-16,Brasil,SAO PAULO,PORTO FELIZ,Mata Atlantica,5,0,0.49,-23.13,-47.6,
2019/10/01 02:03:02,GOES-16,Brasil,SAO PAULO,CERQUEIRA CESAR,Cerrado,5,0,1,-23.08,-49.19,
2019/09/30 01:13:12,GOES-16,Brasil,SAO PAULO,FLORIDA PAULISTA,Mata Atlantica,4,0,1,-21.55,-51.23,
2019/09/30 01:13:12,GOES-16,Brasil,SAO PAULO,FLORIDA PAULISTA,Mata Atlantica,4,0,1,-21.55,-51.21,
2019/09/30 21:43:17,GOES-16,Brasil,SAO PAULO,MIRASSOLANDIA,Cerrado,4,0,1,-20.53,-49.51,
2019/09/30 22:03:06,GOES-16,Brasil,SAO PAULO,ESTRELA DO NORTE,Mata Atlantica,5,0,1,-22.43,-51.61,
2019/09/30 21:33:13,GOES-16,Brasil,SAO PAULO,TAMBAU,Mata Atlantica,4,0,0.98,-21.5,-47.24,
2019/09/30 22:13:04,GOES-16,Brasil,SAO PAULO,BOTUCATU,Cerrado,4,0,1,-22.95,-48.45,
2019/10/01 23:53:16,GOES-16,Brasil,SAO PAULO,LOURDES,Mata Atlantica,5,0,1,-20.96,-50.25,
2019/10/01 22:12:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.14,
2019/10/01 22:12:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.17,
2019/10/01 21:32:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.14,
2019/10/01 21:42:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.17,
2019/10/01 21:42:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.14,
2019/10/01 22:02:55,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.17,
2019/10/01 22:02:55,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.14,
2019/10/01 22:02:55,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.22,-49.14,
2019/10/01 22:32:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.17,
2019/10/01 22:32:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.14,
2019/10/01 22:32:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.21,-49.16,
2019/10/01 22:32:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.22,-49.14,
2019/10/01 22:42:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.22,-49.14,
2019/10/01 22:42:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.21,-49.16,
2019/10/01 22:42:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.14,
2019/10/01 22:42:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.17,
2019/10/01 23:02:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.22,-49.14,
2019/10/01 23:02:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.21,-49.16,
2019/10/01 23:02:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.14,
2019/10/01 23:02:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.17,
2019/10/01 23:12:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.17,
2019/10/01 23:12:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.14,
2019/10/01 23:12:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.21,-49.16,
2019/10/01 23:12:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.22,-49.14,
2019/10/01 23:32:55,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.14,
2019/10/01 23:32:55,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.17,
2019/10/01 23:33:06,GOES-16,Brasil,SAO PAULO,BOTUCATU,Cerrado,5,0,1,-22.73,-48.39,
2019/10/02 00:02:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,0,0,0,-24.19,-49.17,
2019/10/02 00:02:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,0,0,0,-24.19,-49.14,
2019/10/02 00:12:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,0,0,0,-24.22,-49.14,
2019/10/02 00:12:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,0,0,0,-24.19,-49.14,
2019/10/02 00:12:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,0,0,0,-24.19,-49.17,
2019/10/02 00:32:57,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,0,0,0,-24.19,-49.14,
2019/10/02 00:42:56,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,0,0,0,-24.19,-49.14,
2019/10/02 00:43:06,GOES-16,Brasil,SAO PAULO,BOTUCATU,Cerrado,0,0,0,-22.73,-48.39,
2019/10/02 02:33:03,GOES-16,Brasil,SAO PAULO,IPAUSSU,Mata Atlantica,0,0,0,-23.02,-49.63,
2019/10/01 23:52:58,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.22,-49.14,
2019/10/01 23:52:58,GOES-16,Brasil,SAO PAULO,ITARARE,Cerrado,6,0,1,-24.19,-49.17,
2019/10/02 03:03:04,GOES-16,Brasil,SAO PAULO,IPAUSSU,Mata Atlantica,0,0,0,-23.02,-49.63,
2019/10/02 04:33:04,GOES-16,Brasil,SAO PAULO,BOTUCATU,Cerrado,0,0,0,-22.73,-48.39,
2019/10/02 04:43:11,GOES-16,Brasil,SAO PAULO,NOVA EUROPA,Cerrado,0,0,0,-21.73,-48.52,
2019/10/02 04:43:05,GOES-16,Brasil,SAO PAULO,BOTUCATU,Cerrado,0,0,0,-22.73,-48.39,
2019/10/03 19:33:07,GOES-16,Brasil,SAO PAULO,GALIA,Mata Atlantica,8,0,1,-22.3,-49.59,
2019/10/03 20:03:08,GOES-16,Brasil,SAO PAULO,MINEIROS DO TIETE,Cerrado,7,0,1,-22.41,-48.47,
2019/10/03 04:03:11,GOES-16,Brasil,SAO PAULO,ARARAQUARA,Cerrado,7,0,1,-21.86,-48.09,
2019/10/03 04:03:11,GOES-16,Brasil,SAO PAULO,ARARAQUARA,Cerrado,7,0,1,-21.86,-48.11,
2019/10/03 04:03:11,GOES-16,Brasil,SAO PAULO,ARARAQUARA,Cerrado,7,0,1,-21.84,-48.12,
2019/10/03 20:33:16,GOES-16,Brasil,SAO PAULO,PONTAL,Cerrado,7,0,1,-20.96,-48,
2019/10/03 20:33:16,GOES-16,Brasil,SAO PAULO,JARDINOPOLIS,Cerrado,7,0,1,-20.98,-48,
2019/10/03 23:03:21,GOES-16,Brasil,SAO PAULO,PEDREGULHO,Cerrado,7,0,1,-20.22,-47.38,
2019/10/03 23:03:21,GOES-16,Brasil,SAO PAULO,PEDREGULHO,Cerrado,7,0,0.61,-20.25,-47.38,
2019/10/03 23:13:19,GOES-16,Brasil,SAO PAULO,PEDREGULHO,Cerrado,7,0,0.65,-20.28,-47.49,
2019/10/03 23:13:19,GOES-16,Brasil,SAO PAULO,PEDREGULHO,Cerrado,7,0,1,-20.28,-47.46,
2019/10/03 23:33:19,GOES-16,Brasil,SAO PAULO,PEDREGULHO,Cerrado,7,0,1,-20.28,-47.46,
2019/10/03 23:33:19,GOES-16,Brasil,SAO PAULO,PEDREGULHO,Cerrado,7,0,0.65,-20.28,-47.49,
2019/10/04 00:03:12,GOES-16,Brasil,SAO PAULO,MATAO,Cerrado,8,0,1,-21.58,-48.55,
2019/10/04 00:03:12,GOES-16,Brasil,SAO PAULO,ITAPOLIS,Cerrado,8,0,1,-21.58,-48.58,
2019/10/04 00:13:13,GOES-16,Brasil,SAO PAULO,MATAO,Cerrado,8,0,1,-21.56,-48.58,
2019/10/04 00:13:18,GOES-16,Brasil,SAO PAULO,PEDREGULHO,Cerrado,8,0,1,-20.28,-47.51,
2019/10/04 00:13:16,GOES-16,Brasil,SAO PAULO,PONTAL,Cerrado,8,0,1,-21,-48.02,
2019/10/04 00:33:21,GOES-16,Brasil,SAO PAULO,PEDREGULHO,Cerrado,8,0,1,-20.28,-47.51,
2019/10/04 00:43:22,GOES-16,Brasil,SAO PAULO,PAULO DE FARIA,Mata Atlantica,8,0,1,-20.07,-49.44,
2019/10/04 00:43:11,GOES-16,Brasil,SAO PAULO,MATAO,Cerrado,8,0,1,-21.56,-48.56,
2019/10/04 00:43:11,GOES-16,Brasil,SAO PAULO,ITAPOLIS,Cerrado,8,0,1,-21.58,-48.58,
