datahora,satelite,pais,estado,latitude,longitude,municipio,bioma,diasemchuva,precipitacao,riscofogo,frp
2019/10/17 00:43:06,GOES-16,Brasil,SAO PAULO,-22.72,-47.78,PIRACICABA,Cerrado,7,0,1,NA
2019/10/25 21:43:06,GOES-16,Brasil,SAO PAULO,-22.68,-47.34,LIMEIRA,Cerrado,3,0,1,NA
2019/08/12 00:03:13,GOES-16,Brasil,SAO PAULO,-21.42,-47.75,SAO SIMAO,Cerrado,7,0,1,NA
2019/08/11 18:33:14,GOES-16,Brasil,SAO PAULO,-21.14,-48.19,JABOTICABAL,Cerrado,6,0,1,NA
2019/07/02 18:33:13,GOES-16,Brasil,SAO PAULO,-21.3,-48.2,JABOTICABAL,Cerrado,24,0,1,NA
2019/07/10 02:43:12,GOES-16,Brasil,SAO PAULO,-21.44,-47.7,SAO SIMAO,Cerrado,5,0,1,NA
2019/08/23 19:33:05,GOES-16,Brasil,SAO PAULO,-22.6,-47.69,PIRACICABA,Cerrado,18,0.05,1,NA
2019/09/10 01:43:16,GOES-16,Brasil,SAO PAULO,-20.78,-49.45,SAO JOSE DO RIO PRETO,Cerrado,7,0,1,NA
2019/09/18 18:33:05,GOES-16,Brasil,SAO PAULO,-22.67,-47.44,LIMEIRA,Cerrado,16,0,1,NA
2019/09/23 18:33:05,GOES-16,Brasil,SAO PAULO,-22.67,-47.48,LIMEIRA,Cerrado,2,0,1,NA
2019/08/18 22:33:05,GOES-16,Brasil,SAO PAULO,-22.7,-49.22,AGUDOS,Cerrado,0,0,0,NA
2019/08/19 00:03:05,GOES-16,Brasil,SAO PAULO,-22.7,-49.22,AGUDOS,Cerrado,0,0,0,NA
2019/08/09 02:43:14,GOES-16,Brasil,SAO PAULO,-21.22,-47.73,RIBEIRAO PRETO,Cerrado,4,0,0.79,NA
2019/08/13 21:33:14,GOES-16,Brasil,SAO PAULO,-21.28,-47.79,RIBEIRAO PRETO,Cerrado,0,0,0,NA
2019/09/17 20:03:15,GOES-16,Brasil,SAO PAULO,-21.12,-48.15,SERTAOZINHO,Cerrado,11,0,1,NA
2019/09/20 20:03:15,GOES-16,Brasil,SAO PAULO,-21.12,-48.15,SERTAOZINHO,Cerrado,14,0.41,1,NA
